"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 24 15:37:53 IST 2023","Wed May 24 15:38:09 IST 2023","16360","operations","test_login","","","","test_invalid_Login","Validate OrangeHRM with incorrect credentials"
"passed","Wed May 24 15:37:22 IST 2023","Wed May 24 15:37:44 IST 2023","21644","operations","test_login","","","","test_valid_Login","Validate OrangeHRM with correct credentials"
